"","","","","","","","","","","0","","","","","","","","","","","","","",""
"SinhgadRd","34C","Vadgaon Budruk- Hingane Khurd","Manjusha Nagpure","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","34D","Vadgaon Budruk- Hingane Khurd","Shrikant Jagtap","BJP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35A","Sahakar Nagar- Padmavati","Disha Mane","BJP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35B","Sahakar Nagar- Padmavati","Ulhas Bagul","Congress","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35C","Sahakar Nagar- Padmavati","Ashwini Kadam","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","35D","Sahakar Nagar- Padmavati","Mahesh Wabale","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","36A","Market Yard- Lower Indira Nagar","Ansuya Chavan","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","36B","Market Yard- Lower Indira Nagar","Rajendra Shilimkar","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","36C","Market Yard- Lower Indira Nagar","Mansi Deshpande","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","36D","Market Yard- Lower Indira Nagar","Sunil Kamble","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","37A","Uppar Super Indira Nagar","Varsha Sathe","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","37B","Uppar Super Indira Nagar","Rupali Dhadwe","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","37C","Uppar Super Indira Nagar","Pramod Oswal","ShivSena","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","37D","Uppar Super Indira Nagar","","","","","","","","","","","","","","","","","","","","","",""
"Konthwa-Yewlewadi","38A","Balaji Nagar- Rajiv Gandhi Nagar","Dattatray Dhankawade","NCP","","","","","","","","","","","","","","","","","","","",""
"Konthwa-Yewlewadi","38B","Balaji Nagar- Rajiv Gandhi Nagar","Rani Bhosale","BJP","","","","","","","","","","","","","","","","","","","",""
"Konthwa-Yewlewadi","38C","Balaji Nagar- Rajiv Gandhi Nagar","Manishatai Kadam","BJP","","","","","","","","","","","","","","","","","","","",""
"Konthwa-Yewlewadi","38D","Balaji Nagar- Rajiv Gandhi Nagar","Prakash Kadam","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39A","Dhankawadi- Ambegaon Pathar","Kishor Dhankawade","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39B","Dhankawadi- Ambegaon Pathar","Ashwini Bhagwat","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39C","Dhankawadi- Ambegaon Pathar","Varsha Tapkir","BJP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","39D","Dhankawadi- Ambegaon Pathar","Vishal Tambe","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40A","Ambegaon Datta Nagar- Katraj Gaothan","Yuvraj Beldare","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40B","Ambegaon Datta Nagar- Katraj Gaothan","Amruta Babar","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40C","Ambegaon Datta Nagar- Katraj Gaothan","Smita Kondhare","NCP","","","","","","","","","","","","","","","","","","","",""
"Dhankawdi-Sahakarnagar","40D","Ambegaon Datta Nagar- Katraj Gaothan","Vasant More","MNS","","","","","","","","","","","","","","","","","","","",""
