"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"22B","18-19","8","Steel bollards/poles","141,771.86","Steel Bollards","No Issue","",""
"22B","18-19","9","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","139,307.58","Nameplates","No Issue","",""
"22B","18-19","10","Electrification/new street lights","197,882.01","Electrification","No Issue","",""
"22C","18-19","11","Electrification/new street lights","175,596.13","Electrification","No Issue","",""
"22C","18-19","12","Electrification/new street lights","125,214.38","Electrification","No Issue","",""
"22C","18-19","13","Pavement Blocks / Grouting / Laying tiles","148,554.72","Pavement blocks","No Issue","",""
"22D","18-19","14","Electrification/new street lights","131,295.25","Electrification","No Issue","",""
"22D","18-19","15","Electrification/new street lights","127,923.73","Electrification","No Issue","",""
"22D","18-19","16","Electrification/new street lights","124,668.96","Electrification","No Issue","",""
"22D","18-19","17","Benches","197,558.40","Benches","No Issue","",""
"22D","18-19","18","Details of the work","151,974.14","Development work","No Issue","",""
"23A","18-19","19","Electrification/new street lights","113,304.34","Electrification","No Issue","",""
"23A","18-19","20","Electrification/new street lights","126,715.92","Electrification","No Issue","",""
"23C","18-19","21","Development work at waste seggregation shed","197,358.59","Waste disposal","No Issue","",""
"23B","18-19","22","Decoration (सुशोभीकरण in marathi)","189,779.30","Decoration","No Issue","",""
"23B","18-19","23","Decoration (सुशोभीकरण in marathi)","189,779.30","Decoration","No Issue","",""
"23B","18-19","24","Electrification/new street lights","197,593.72","Electrification","No Issue","",""
"23B","18-19","25","Electrification/new street lights","196,318.60","Electrification","No Issue","",""
"23B","18-19","26","Electrification/new street lights","196,694.45","Electrification","No Issue","",""
"23C","18-19","27","Electrification/new street lights","141,875.63","Electrification","No Issue","",""
"23C","18-19","28","Electrification/new street lights","197,400.79","Electrification","No Issue","",""
"23C","18-19","29","Electrification/new street lights","124,139.76","Electrification","No Issue","",""
"23A","18-19","30","Benches","151,800.61","Benches","No Issue","",""
"23C","18-19","31","Electrification/new street lights","98,771.91","Electrification","No Issue","",""
"23C","18-19","32","Electrification/new street lights","196,875.22","Electrification","No Issue","",""
"23D","18-19","33","Electrification/new street lights","128,972.50","Electrification","No Issue","",""
"23D","18-19","34","Electrification/new street lights","124,656.96","Electrification","No Issue","",""
"23D","18-19","35","Electrification/new street lights","125,649.74","Electrification","No Issue","",""
"23D","18-19","36","Mainetnance and cleaning works","169,935.30","Cleaning","No Issue","",""
"23D","18-19","37","Electrification/new street lights","188,045.71","Electrification","No Issue","",""
"26B","18-19","38","Electrification/new street lights","123,038.31","Electrification","No Issue","",""
"26B","18-19","39","Electrification/new street lights","197,236.69","Electrification","No Issue","",""
"26C","18-19","40","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","134,800.93","Nameplates","No Issue","",""
"26C","18-19","41","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","134,800.93","Nameplates","No Issue","",""
"26C","18-19","42","Electrification/new street lights","169,334.84","Electrification","No Issue","",""
"26C","18-19","43","Electrification/new street lights","177,957.98","Electrification","No Issue","",""
"26C","18-19","44","Electrification/new street lights","98,343.92","Electrification","No Issue","",""
"26D","18-19","45","Electrification/new street lights","97,735.19","Electrification","No Issue","",""
"26D","18-19","46","Benches","181,962.23","Benches","No Issue","",""
"26D","18-19","47","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","196,038.38","Nameplates","No Issue","",""
"26D","18-19","48","Benches","181,962.23","Benches","No Issue","",""
"26D","18-19","49","Decoration (सुशोभीकरण in marathi)","171,325.44","Decoration","Open","Amount to be confirmed since expenditure is above 2L",""
"26D","18-19","50","Miscelleneous Development work","197,160.89","Development work","No Issue","",""
"26D","18-19","51","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","197,409.17","Buildings","No Issue","",""
"26D","18-19","52","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","195,627.45","Buildings","No Issue","",""
"23B","17-18","1","Colouring works","199,180.82","Colouring","No Issue","",""
"23B","17-18","2","Decoration (सुशोभीकरण in marathi)","199,440.19","Decoration","No Issue","",""
"26A","17-18","3","Drainage works","199,738.81","Drainage","No Issue","",""
"26B","17-18","4","Drainage works","198,447.85","Drainage","No Issue","",""
"26D","17-18","5","Drainage works","113,592.71","Drainage","No Issue","",""
"22A","17-18","6","Fencing / walls / gates","65,039.49","Fencing","No Issue","",""
"22A","17-18","7","Fencing / walls / gates","137,020.73","Fencing","No Issue","",""
"22A","17-18","8","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","70,446.80","Nameplates","No Issue","",""
"22B","17-18","9","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","142,672.39","Nameplates","No Issue","",""
"22A","17-18","10","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","130,999.16","Buildings","No Issue","",""
"22A","17-18","11","Water pipelines, repairing etc.","126,652.35","Drainage","No Issue","",""
"22D","17-18","12","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","154,990.76","Buildings","No Issue","",""
"26A","17-18","13","Benches","147,601.67","Benches","No Issue","",""
"26A","17-18","14","Benches","143,383.34","Benches","No Issue","",""
"26B","17-18","15","Pavement Blocks / Grouting / Laying tiles","68,415.11","Pavement blocks","No Issue","",""
"26B","17-18","16","Pavement Blocks / Grouting / Laying tiles","127,530.77","Pavement blocks","No Issue","",""
"26C","17-18","17","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","133,224.65","Nameplates","No Issue","",""
"26C","17-18","18","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","133,211.32","Nameplates","No Issue","",""
"26C","17-18","19","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","135,889.18","Nameplates","No Issue","",""
"26D","17-18","20","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","143,021.92","Nameplates","No Issue","",""
"26D","17-18","21","Benches","143,303.34","Benches","No Issue","",""
"26D","17-18","22","Benches","172,658.68","Benches","No Issue","",""
"23D","17-18","23","Benches","147,641.66","Benches","No Issue","",""
"23B","17-18","24","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","149,877.75","Nameplates","No Issue","",""
"23C","17-18","25","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","157,871.23","Nameplates","No Issue","",""
"23C","17-18","26","Pavement Blocks / Grouting / Laying tiles","125,626.27","Pavement blocks","No Issue","",""
"23C","17-18","27","Concretization","125,561.28","Concretization","No Issue","",""
"23C","17-18","28","Concretization","125,523.03","Concretization","No Issue","",""
"23C","17-18","29","Drainage works","142,567.88","Drainage","No Issue","",""
"26B","17-18","30","Electrification/new street lights","71,679.49","Electrification","No Issue","",""
"26B","17-18","31","Electrification/new street lights","135,033.74","Electrification","No Issue","",""
"23D","17-18","32","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","126,837.33","Nameplates","No Issue","",""
"23D","17-18","33","Benches","107,707.30","Benches","No Issue","",""
"23A","17-18","34","P.M.C. school related development work","92,787.76","Buildings","No Issue","",""
"22D","17-18","35","Benches","158,616.93","Benches","No Issue","",""
"22D","17-18","36","Benches","158,616.93","Benches","No Issue","",""
"22D","17-18","37","Benches","161,477.40","Benches","No Issue","",""
"22D","17-18","38","Benches","124,520.90","Benches","No Issue","",""
"22D","17-18","39","Benches","124,520.90","Benches","No Issue","",""
"22D","17-18","40","Benches","146,697.95","Benches","No Issue","",""
"22D","17-18","41","Benches","160,848.32","Benches","No Issue","",""
"22C","17-18","42","Benches","142,989.99","Benches","No Issue","",""
"22C","17-18","43","Benches","142,989.99","Benches","No Issue","",""
