"AUNDH - BANER","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"8A","20-21","5","Providing benches ","176,767.00","Benches","","",""
"8A","20-21","6","Distribution of cotton masks ","100,000.00","Help / Fund / Relief Work","","",""
"8A","20-21","7","Painting of school","179,883.13","Colouring","","",""
"8A","20-21","8","Repair work related to Samaj Mandir ","200,000.00","Buildings","","",""
"8A","20-21","9","Repair work related to Samaj Mandir and Vihar","200,000.00","Buildings","","",""
"8A","20-21","10","Radaroda (cleaning) work","198,553.60","Cleaning","","",""
"8A","20-21","11","Electric work related to Samaj Mandir and Vihar","198,525.60","Electrification","","",""
"8A","20-21","12","Electrification work ","197,192.09","Electrification","","",""
"8B","20-21","1","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"8B","20-21","2","Installing sign/name boards ","187,947.65","Nameplates","","",""
"8B","20-21","3","Installing sign/name boards ","187,947.65","Nameplates","","",""
"8B","20-21","4","Work related to footpath","167,258.82","Footpath","","",""
"8B","20-21","5","Distribution of soaps ","199,990.00","Help / Fund / Relief Work","","",""
"8B","20-21","6","Radaroda (cleaning) work","200,000.00","Cleaning","","",""
"8B","20-21","7","Fencing at Ghat","200,000.00","Fencing","","",""
"8B","20-21","8","Fencing at Ghat","200,000.00","Fencing","","",""
"8C","20-21","1","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"8C","20-21","2","Hand free sanitizer tank for Covid prevention","148,969.50","Help / Fund / Relief Work","","",""
"8C","20-21","3","Purchase of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"8C","20-21","4","Paverblock work ","199,213.28","Help / Fund / Relief Work","","",""
"8C","20-21","5","Concretization at various places","194,003.71","Concretization","","",""
"8C","20-21","6","Concretization of road","160,093.59","Concretization","","",""
"8D","20-21","1","Distribution of  masks ","200,000.00","Help / Fund / Relief Work","","",""
"8D","20-21","2","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"8D","20-21","3","Hand free sanitizer unit for Covid prevention","195,820.00","Help / Fund / Relief Work","","",""
"8D","20-21","4","Line for Monsoon and repair work ","199,164.29","Drainage","","",""
"8D","20-21","5","Lifting _____ from places ","199,421.60","Cleaning","Resolved","Description not clear. No code selected. Is it radaroda ",""
"8D","20-21","6","Water line for basti ","176,368.00","Water supply","","",""
"8D","20-21","7","Providing Electric motor for public toilet","197,722.10","Electrification","","",""
"8D","20-21","8","Providing Electric motor for public toilet","197,795.29","Electrification","","",""
"9A","20-21","1","Spreading Murum stone ","151,940.00","Road","","",""
"9A","20-21","2","Providing Jute bags ","200,000.00","Bags","","",""
"9A","20-21","3","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"9A","20-21","4","Distribution of soaps ","199,990.00","Help / Fund / Relief Work","","",""
"9A","20-21","5","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"9A","20-21","6","Installing sanitizer stand ","197,779.30","Help / Fund / Relief Work","","",""
"9A","20-21","7","Distribution of soaps ","199,980.00","Help / Fund / Relief Work","","",""
"9B","20-21","1","Block work ","177,917.00","Pavement blocks","","",""
"9B","20-21","2","Line for Monsoon and repair work ","153,721.65","Drainage","","",""
"9B","20-21","3","Developmental work related to crematorium ","122,493.84","Cemetory / Crematorium","","",""
"9B","20-21","4","Paverblock at Crematorium ","122,930.40","Pavement blocks","","",""
"9B","20-21","5","Colouring, block and electrification work  at Crematorium ","70,473.00","Cemetory / Crematorium","","",""
"9B","20-21","6","Colouring, block and electrification work  at Crematorium ","199,276.40","Cemetory / Crematorium","","",""
"9B","20-21","7","Lifitng Radaroda (Cleaning)","199,208.80","Cleaning","","",""
"9B","20-21","8","Electrification work in ward ","197,316.28","Electrification","","",""
"9B","20-21","9","Work related to electricity ","196,989.18","Electrification","","",""
"9C","20-21","1","Distribution of masks ","200,000.00","Help / Fund / Relief Work","","",""
"9C","20-21","2","Installation of Hand free sanitizer tank ","199,198.44","Help / Fund / Relief Work","","",""
"9C","20-21","3","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"9C","20-21","4","Providing Jute bags ","200,000.00","Bags","","",""
"9C","20-21","5","Distribution of cotton masks ","200,000.00","Help / Fund / Relief Work","","",""
"9D","20-21","1","Putting Blocks  (100 mm)","139,423.51","Pavement blocks","","",""
"9D","20-21","2","Installing sign/name boards for public places","139,027.55","Nameplates","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
