"BHAVANI PETH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"17A","19-20","7","Chamber alignment","196,604.09","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","8","Drainage line repair","189,995.53","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","9","Toilet repairs","195,729.37","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","10","Drainage line repair","190,639.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","1","Rain water line cleaning","197,319.87","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","2","Toilet repairs","196,108.21","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","3","Drainage cleaning","197,339.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","4","Drainage line repair","197,903.75","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","5","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","6","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","7","Cloth bags distribution","100,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"17B","19-20","8","Direction boards","196,516.95","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","1","Chamber alignment","197,954.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","2","Drainage line repair","197,711.58","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","3","Chamber repairs","186,290.12","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","4","Concretization","196,632.35","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","5","Toilet repairs","196,447.35","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","6","Footpath repairs","197,305.50","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","7","Concretization","198,293.59","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"17C","19-20","8","Chamber repairs","196,638.63","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","1","Chamber cleaning and repairs","196,212.35","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","2","Drainage line and flooring installation","199,869.27","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","3","Chamber alignment","199,680.83","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","4","Footpath Consturction","199,763.62","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","5","Footpath Consturction","199,717.68","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","6","Laying of drainage line","196,534.01","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","7","Chamber alignment and clearing","195,670.26","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17D","19-20","8","Garbage Pick up","189,881.75","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","1","Direction boards","197,113.65","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","2","Thermoplastic paint application","197,611.50","Road","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","3","Thermoplastic paint application","196,797.93","Road","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","4","Direction boards","196,656.77","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","5","Chamber grill repairs and installation","197,205.85","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","6","Chamber alignment","196,791.72","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","7","Chamber and Drainage line cleaning","196,731.31","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","8","Chamber cleaning and alignment","197,173.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","9","Wall Painting","195,844.02","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"18A","19-20","10","Repair works in Schools","196,760.36","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","1","Developmental Works in Schools","188,338.60","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","2","Corporation Building repairs","197,134.81","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","3","Chamber repairs and drainage related works","183,854.68","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","4","Health centers and Samaaj Mandirs repairs","182,343.19","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","5","Direction boards","197,908.16","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","7","Toilet repairs","196,982.24","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"18B","19-20","8","Garbage Pick up","98,492.12","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"18C","19-20","1","School Furniture Repair","195,233.49","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"18C","19-20","2","Drainage line clearing and chamber repairs","196,943.66","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18C","19-20","3","Drainage line cleaning","196,743.66","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","1","Drainage line cleaning","199,101.25","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","2","Rain Net cover cleaning","199,306.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","3","Drainage line cleaning","199,259.34","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","4","Drainage line cleaning","197,514.95","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","5","Drainage line cleaning","197,596.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"18D","19-20","6","Drainage line cleaning","176,353.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19A","19-20","1","Drainage line and chamber repairs","197,275.83","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19A","19-20","2","Direction boards","193,606.05","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"19A","19-20","3","Wall Painting","197,608.12","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"19A","19-20","4","Boxing coaching center furniture works","197,319.01","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"19B","19-20","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19B","19-20","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19B","19-20","3","Concretization","197,820.92","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"19B","19-20","4","Chamber repairs related works","198,383.98","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
