"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Janata Vasahat -Dattawadi","30","A","Anand Ramesh Rithe","M","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Janata Vasahat -Dattawadi","30","B","Priya Shivaji Gadade","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Janata Vasahat -Dattawadi","30","C","Anita Santosh Kadam","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Janata Vasahat -Dattawadi","30","D","Shankar Ganpati Pawar","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Karve Nagar","31","A","Mengde Sushil Shivram","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Karve Nagar","31","B","Dudhane Lakshmi Devram","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Karve Nagar","31","C","Chaudhari Vrushali Dattatray","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Karve Nagar","31","D","Rajabhau Kisan Barate","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Warje Malwadi","32","A","Barate Dilip Prabhakar","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Warje Malwadi","32","B","Wanjale Sayali Ramesh","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Warje Malwadi","32","C","Dipali Pradeep(Baba) Dhumal","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Warje Malwadi","32","D","Dodke Sachin Shivajirao","M","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Dhayari - Suncity","33","A","Haridas Krushna Charwad","M","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Dhayari - Suncity","33","B","Hema alias Rajashree Dilip Navale","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Dhayari - Suncity","33","C","Nita Anant Dangat","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Dhayari - Suncity","33","D","Raju Murlidhar Laigude","M","","","","","","","","","","","","","","","","","","","",""
