"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"40B","20-21","10","Electricity related work","195,571.05","Electrification","No Issue","",""
"40C","20-21","1","Nameplates related work","199,891.51","Nameplates","No Issue","",""
"40C","20-21","2","Varoius development work","199,941.37","Development work","No Issue","",""
"40C","20-21","3","Draining and chamber lines related work","199,890.43","Drainage","No Issue","",""
"40C","20-21","4","Picking up radar waste","199,819.20","Waste disposal","No Issue","",""
"40C","20-21","5","Draining and chamber lines related work","199,900.96","Drainage","No Issue","",""
"40C","20-21","6","Road and footpath and other road related work","199,933.37","Road","No Issue","",""
"40C","20-21","7","Repairing public toilets","199,833.56","Toilet","No Issue","",""
"40C","20-21","8","Draining and chamber lines related work","199,998.84","Drainage","No Issue","",""
"40C","20-21","9","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"40C","20-21","10","Varoius development work","199,833.56","Development work","No Issue","",""
"40D","20-21","1","Adding white lines on road","199,679.10","Road","No Issue","",""
"40D","20-21","2","Side lines for road","199,629.21","Road","No Issue","",""
"40D","20-21","3","Distribution of sanitizer and stands","199,367.78","Help / Fund / Relief Work","No Issue","",""
"40D","20-21","4","Garden coloring work","199,372.24","Garden","No Issue","",""
"40D","20-21","5","Iron benches installation","199,256.96","Benches","No Issue","",""
"40D","20-21","6","Coloring work in garden","199,264.36","Garden","No Issue","",""
"40D","20-21","7","Development of garden","199,387.76","Garden","No Issue","",""
"40D","20-21","8","Development of garden","198,587.19","Garden","No Issue","",""
"40D","20-21","9","Installing boards of remembrance","197,855.36","Development work","No Issue","",""
"40D","20-21","10","Various development work","199,692.33","Development work","No Issue","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
